id,name,generic,vendor,fda_code
531,CLADOSPORIUM SPHAEROSPERMUM,CLADOSPORIUM SPHAEROSPERMUM,"ALK-Abello, Inc.",0268-0867
532,equaline anti itch,Hydrocortisone,Supervalu Inc,41163-369
533,Mandragora Arnica,Mandragora Arnica,Uriel Pharmacy Inc.,48951-7012
534,Propafenone HCl,Propafenone hydrochloride,McKesson Packaging Services a business unit of McKesson Corporation,63739-509
535,ACETAMINOPHEN AND CODEINE PHOSPHATE,acetaminophen and codeine phosphate,"Aphena Pharma Solutions - Tennessee, LLC",67544-001
536,SEUK,Allantoin,"NANOPOLY CO., LTD.",54170-130
537,INSTANT HAND SANITIZER,ETHYL ALCOHOL,CVS PHARMACY,59779-254
538,Lamotrigine,Lamotrigine,REMEDYREPACK INC.,49349-055
539,Skelaxin,Metaxalone,Cardinal Health,55154-3650
540,Fin McMissie Sun Smacker SPF 24 Vroom Vroom Vanilla,"OCTINOXATE, OXYBENZONE, PADIMATE O",Bonne Bell LLC,50051-0012
541,ANTI-AGING CONCEALER FACE EYES SUNSCREEN SPF 20 Shade 30,"OCTINOXATE, OCTISALATE, OXYBENZONE","La Prairie, Inc.",68026-533
542,Arsenicum Album Kit Refill,ARSENIC TRIOXIDE,Washington Homeopathic Products,68428-033
543,Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,"Breckenridge Pharmaceutical, Inc.",51991-467
544,Ponderosa Pine,Ponderosa Pine,"Nelco Laboratories, Inc.",36987-2959
545,ANTIBACTERIAL FOAMING,TRICLOSAN,MEIJER DISTRIBUTION INC,41250-185
546,Hemorrhoidal,"glycerin, phenylephrine HCl, pramoxine HCl, white petrolatum",CVS Pharmacy,59779-944
547,Clarithromycin,Clarithromycin,KAISER FOUNDATION HOSPITALS,0179-0076
548,Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate,Butler Animal Health Supply,11695-1411
549,Poly Bacitracin,Bacitracin zinc and Polymyxin B sulfate,"Phoenix Global Supply Group, Inc",52426-420
550,ESIKA,OCTINOXATE,"Ventura Corporation (San Juan, P.R)",13537-321
551,CELEBREX,Celecoxib,"PD-Rx Pharmaceuticals, Inc.",55289-451
552,Sertraline Hydrochloride,Sertraline Hydrochloride,"MedVantx, Inc.",66116-377
553,Levofloxacin,Levofloxacin,Major Pharmaceuticals,0904-6353
554,Bio Wild Rose,"Wild rose,",Apotheca Company,57520-0846
555,Zolpidem tartrate,Zolpidem tartrate,Cardinal Health,55154-1399
556,LACHESIS MUTUS,BUSHMASTER VENOM,REMEDY MAKERS,10191-1460
557,Pristiq,desvenlafaxine succinate,"Physicians Total Care, Inc.",54868-2932
558,Clenz-Lyte,Polyethylene Glycol 3350,"Paddock Laboratories, Inc.",0574-0427
559,FAMILY WELLNESS MEDICATED COOLING PADS,WITCH HAZEL,FAMILY DOLLAR,55319-032
560,GENTAMICIN SULFATE,gentamicin sulfate,Aidarex Pharmaceuticals LLC,33261-604
561,DILANTIN,PHENYTOIN SODIUM,REMEDYREPACK INC.,49349-099
562,Rite Aid,TRICLOSAN,RITE AID CORPORATION,11822-7200
563,Phenytoin,Phenytoin,"Physicians Total Care, Inc.",54868-2038
564,Indomethacin,Indomethacin,REMEDYREPACK INC.,49349-873
565,Isosorbide Dinitrate,Isosorbide Dinitrate,REMEDYREPACK INC.,49349-793
566,CLOTRIMAZOLE,CLOTRIMAZOLE,Geritrex Corp,54162-018
567,Dexamethasone,Dexamethasone,Bryant Ranch Prepack,63629-4129
568,Ciprofloxacin,ciprofloxacin hydrochloride,RedPharm Drug Inc.,67296-0580
569,Vectibix,panitumumab,Amgen Inc,55513-956
570,Lidocaine,LIDOCAINE HYDROCHLORIDE,"APP Pharmaceuticals, LLC",63323-201
571,URSODIOL,URSODIOL,STAT RX USA LLC,16590-349
572,Oxygen,Oxygen,"Youngstown Oxygen & Welding Supply, Inc.",54316-123
573,Too Faced BB Creme Complete Coverage Make-Up,TITANIUM DIOXIDE,TOO FACED COSMETICS,79596-100
574,Chemtox,"Triticum Aestivum, Berberis Vulgaris, Glycyrrhiza Glabra, Lappa Major, Phytolacca Decandra, Rhamnus Frangula, Rhamnus Purshiana, Stillingia Sylvatica","BioActive Nutritional, Inc.",43857-0049
575,"Pollens - Trees, Tree Mix 5",Tree Mix 5,Jubilant HollisterStier LLC,65044-2858
576,CitraNatal Harmony,"Calcium citrate, Iron pentacarbonyl, Cholecalciferol, .Alpha.-tocopherol, DL-, Pyridoxine hydrochloride, Folic Acid, Docusate Sodium, and Doconexent",MISSION PHARMACAL COMPANY,0178-0799
577,Aplicare Povidone-Iodine,Povidone-Iodine,"Aplicare, Inc.",52380-4801
578,Timoptic-XE,Timolol Maleate,"Aton Pharma, Inc.",25010-811
579,Paroxetine,Paroxetine hydrochloride,Contract Pharmacy Services-PA,67046-531
580,COCONUT,coconut,"Allergy Laboratories, Inc.",54575-378
581,valsartan and hydrochlorothiazide,valsartan and hydrochlorothiazide,Apotex Corp.,60505-3806
582,Maple Pollen Mixture,Maple Pollen Mixture,"Antigen Laboratories, Inc.",49288-0309
583,Diphenhydramine HCl and Zinc Acetate,Extra Strength Itch Relief Continuous Spray,Premier Brands of America Inc.,56104-015
584,East Sycamore,East Sycamore,"Nelco Laboratories, Inc.",36987-3046
585,Health Mart Pain Relief,Acetaminophen,McKesson,62011-0022
586,LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15,Zinc Oxide and Titanium Dioxide,Ventura Corporation LTD,13537-409
587,Acute Care Kit,"Aconitum Napellus, Antimonium Tartaricum, Apis Mellifica, Arnica Montana, Arsenicum Album, Belladonna, Cantharis, Carbo Vegetabilis, Chamomilla, Cinchona, Gelsemium, Hepar Sulph Calcareum, Hypericum Perforaturm, Ipecacuanha, Kali Bichromicum, Lachesis Mutus, Lycopodium Clavatum, Nux Vomica, Phosphorus, Pulsatilla, Rhus Toxicodendron, Urtica Urens",MARPE LLC,62990-690
588,Sulfacetamide Sodium and Prednisolone Sodium Phosphate,Sulfacetamide Sodium and Prednisolone Sodium Phosphate,Bausch & Lomb Incoporated,24208-317
589,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",0115-1121
590,PredniSONE,PredniSONE,Clinical Solutions Wholesale,58118-0018
591,Cefdinir,Cefdinir,Aidarex Pharmaceuticals LLC,33261-905
592,Nitrogen,Nitrogen,American Welding & Gas,44076-006
593,DG Ice Cold Analgesic,Menthol,"Dolgencorp, LLC",55910-815
594,Dextrose,Dextrose monohydrate,Baxter Healthcare Corporation,0338-0719
595,NovoLog,insulin aspart,"Dispensing Solutions, Inc.",68258-8899
596,ARTEMISIA FRIGIDA POLLEN,Sage Prairie,"ALK-Abello, Inc.",0268-1468
597,Triamcinolone Acetonide,Triamcinolone Acetonide,"Rising Pharmaceuticals, Inc.",64980-320
598,Cough Relief,DEXTROMETHORPHAN HYDROBROMIDE,"Aaron Industries, Inc.",49580-3104
599,VALSARTAN,VALSARTAN,Ohm Laboratories Inc.,51660-140
600,Cefuroxime Axetil,Cefuroxime Axetil,Gen-Source Rx,52343-047
601,Bio Holly,"Holly,",Apotheca Company,57520-0517
602,Extra Strength Headache Relief,"Acetaminophen, Aspirin, Caffeine",SUPERVALU INC.,41163-159
603,Cisplatin,Cisplatin,Mylan Institutional LLC,67457-424
604,Ampicillin,Ampicillin Sodium,Sandoz Inc,0781-3412
605,Dior Bronze Collagen Activ SPF 15 004,"OXYBENZONE, OCTINOXATE, TITANIUM DIOXIDE",Parfums Christian Dior,61957-0104
606,Leader Cherry SPF 4 Lip Balm,"Padimate O, Petrolatum",Cardinal Health (Leader),37205-692
607,Menstrual Relief,"Acetaminophen, Caffeine and Pyrilamine maleate","Stephen L. LaFrance Pharmacy, Inc.",15127-938
608,Tilia Fe,Norethindrone Acetate and Ethinyl Estradiol,"Physicians Total Care, Inc.",54868-6274
609,Chloroquine,Chloroquine Phosphate,West-ward Pharmaceutical Corp,0143-2125
610,FIBRICOR,Fenofibric Acid,"AR Scientific, Inc.",13310-102
611,Wal-Zyr,Cetirizine HCl,Walgreens,0363-0129
612,Amlodipine Besylate,Amlodipine Besylate,Clinical Solutions Wholesale,58118-0238
613,Cold Sore Treatment,Benzalkonium Chloride,Cardinal Health,37205-973
614,Chest Congestion,Guaifenesin,"Accudial Pharmaceutical, Inc.",45014-163
615,Forteo,Teriparatide,Eli Lilly and Company,0002-8400
616,Nobac Plus E3,Benzalkonium Chloride,Mason Chemical Company,31511-010
617,Ampicillin and Sulbactam,Ampicillin Sodium and Sulbactam Sodium,Baxter Healthcare Corporation,10019-632
618,Mosquito,Mosquito,"Nelco Laboratories, Inc.",36987-1814
619,Health Mart Childrens Ibuprofen,Ibuprofen,McKesson,62011-0214
620,antibiotic and pain relief,"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl",Rite Aid Corporation,11822-0444
621,Nadolol,Nadolol,Sandoz Inc,0781-1183
622,day time cough,Dextromethorphan HBr,Safeway,21130-473
623,Pioglitazone Hydrochloride,pioglitazone hydrochloride,American Health Packaging,68084-629
624,Prevail,Ethyl Alcohol,Duane Reade,24488-020
625,Topcare Heartburn Relief 150,Ranitidine,Topco Associates LLC,36800-852
626,Tonsilla compositum,"CONIUM MACULATUM FLOWERING TOP, SOLANUM DULCAMARA TOP, ECHINACEA, UNSPECIFIED, HORSE CHESTNUT,ANTIMONY POTASSIUM TARTRATE, ASCORBIC ACID, PROTORTONIA CACTI,GALIUM APARINE,GENTIANA LUTEA ROOT,GERANIUM ROBERTIANUM, PULSATILLA VULGARIS,LACTIC ACID, L-, SUS SCROFA ADRENAL GLAND,SULFUR,TRIBASIC CALCIUM PHOSPHATE,FERROSOFERRIC PHOSPHATE,SUS SCROFA UMBILICAL CORD,PORK LIVER,SUS SCROFA HYPOTHALAMUSSUS SCROFA BONE MARROW,SUS SCROFA SPLEEN,SUS SCROFA ADRENAL GLAND, CORTISONE ACETATE, SUS SCROFA EMBRYO,",Heel Inc,50114-0104
627,Lysol,Benzethonium chloride,Reckitt Benckiser LLC,63824-461
628,Menstrual Muscle Cramps,MAGNESIUM CATION,Natural Health Supply,64117-998
629,MIRACLE ICE,Menthol and Camphor (synthetic),"FDN Enterprises, LLC",60691-114
630,Healing,"Calendula officinalis, Silacea",Wise Woman Herbals,60660-7784
631,Pain Relief,Acetaminophen,"Shopko Stores Operating Co., LLC",37012-161
632,Glimepiride,glimepiride,"UDL Laboratories, Inc.",51079-426
633,Phosphorus 8,Phosphorus 8,Uriel Pharmacy Inc.,48951-8027
634,Heparin Sodium,Heparin Sodium,Cantrell Drug Company,52533-138
635,Cystadane,betaine,"Rare Disease Therapeutics, Inc.",66621-4000
636,JAFRA DAILY,ALUMINUM CHLOROHYDRATE,JAFRA COSMETICS INTERNATIONAL,68828-053
637,Milk of Magnesia Wild Cherry,MAGNESIUM HYDROXIDE,Premier Value,68016-104
638,Nitrostat,nitroglycerin,Parke-Davis Div of Pfizer Inc,0071-0419
639,ANTIMONIUM TART,ANTIMONY POTASSIUM TARTRATE,Hyland's,54973-0602
640,Ciprofloxacin,Ciprofloxacin,REMEDYREPACK INC.,49349-662
641,Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,Corepharma LLC.,64720-328
642,Garlic,Garlic,"Antigen Laboratories, Inc.",49288-0218
643,Carvedilol,Carvedilol,REMEDYREPACK INC.,52125-384
644,Varicose Veins,Natural Medicine,King Bio Inc.,57955-5566
645,Travel-Ease,Meclizine HCl,Geri-Care Pharmaceutical Corp,57896-778
646,Benazepril Hydrochloride and Hydrochlorothiazide,benazepril hydrochloride and hydrochlorothiazide,Mylan Pharmaceuticals Inc.,0378-4745
647,Eve Lom Radiance Lift Foundation SPF 15,Titanium Dioxide and Octinoxate,Space Brands Limited,61601-1183
648,"Food - Plant Source, Almond Prunus amygdalus",Almond Prunus amygdalus,Jubilant HollisterStier LLC,65044-3014
649,Nighttime Sleep Aid,Diphenhydramine HCl,The Kroger Co.,30142-401
650,SenokotXTRA,standardized senna concentrate,Purdue Products LP,67618-315
651,Neutrogena MoistureShine SPF20,"Octinoxate, Octisalate, and Titanium Dioxide",Neutrogena Corporation,10812-345
652,Rexall Pain Relief,Acetaminophen,"Dolgencorp, LLC",55910-975
653,Ileocecal Valve Support,"Iodium, Pituitary (Suis), Thyroidinum (Suis), Glandula Suprarenalis Suis, Fel Tauri, Taraxacum Officinale, Bryonia","Deseret Biologicals, Inc.",43742-0136
654,Cerafill Retaliate,Minoxidil,"L'oreal Usa, Inc.",49967-759
655,ITCHY SKIN RASH,GRINDELIA HIRSUTULA FLOWERING TOP,Natural Health Supply,64117-235
656,Avocado,Avocado,"Nelco Laboratories, Inc.",36987-1293
657,Naproxen,Naproxen,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,35356-683
658,Ticlopidine Hydrochloride,Ticlopidine Hydrochloride,"AvKARE, Inc.",42291-803
659,DG Health migraine relief,"Acetaminophen, Aspirin, Caffeine","Dolgencorp, LLC",55910-374
660,WALGREENS MEDICATED PAIN RELIEVING,"CAMPHOR, MENTHOL, METHYL SALICYLATE",WALGREENS,0363-0149
661,Adrenal Tonic,"Aralia quinquefolia, Glycyrrhiza, Sarsaparilla, Avena sativa, Glandula suprarenalis bovinum, Adrenalinum,",Apotheca Company,57520-0015
662,Gold,"L-carnitine, L-glutamine, L-ornithine, L-tryptophan, L-tyrosine, Human chorionic gonadotropin,",Apotheca Company,57520-0646
663,Meijer Medicated Heat,Capsaicin,Meijer,41250-269
664,IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,"Mallinckrodt, Inc.",0406-9931
665,TRICHOPHYTON MENTAGROPHYTES,trichophyton mentagrophytes,"Allergy Laboratories, Inc.",54575-224
666,TEMODAR,Temozolomide,"Physicians Total Care, Inc.",54868-5348
667,Flounder,Flounder,"Nelco Laboratories, Inc.",36987-1213
668,Zolmitriptan,Zolmitriptan,Zydus Pharmaceuticals (USA) Inc.,68382-715
669,Theratramadol-90,"TRAMADOL HYDROCHLORIDE, .GAMMA.-AMINOBUTYRIC ACID",Physician Therapeutics LLC,68405-038
670,Dove,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,64942-1216
671,Euphrasia Officinalis Kit Refill,EUPHRASIA STRICTA,Washington Homeopathic Products,68428-047
672,Allergy Attack Relief to Go,DIPHENHYDRAMINE HYDROCHLORIDE,Breakthrough Products Inc.,51596-009
673,Megestrol Acetate,Megestrol Acetate,Atlantic Biologicals Corps,17856-0907
674,Fluoxetine,Fluoxetine,Pliva Inc.,50111-647
675,GENTAMICIN SULFATE,gentamicin sulfate,REMEDYREPACK INC.,52125-461
676,Metronidazole,Metronidazole,Sandoz Inc.,0781-7080
677,Type 3 Sinus Regular,"Silicea, Hydrastis canadensis, Kali bichromicum, Calcarea carbonica,",Apotheca Company,57520-0425
678,Anti-Aging Foundation SPF 15 Shade 600,OCTINOXATE,"La Prairie, Inc.",68026-526
679,Naproxen Sodium,Naproxen Sodium,Family Dollar (FAMILY WELLNESS),55319-256
680,Helium Oxygen,Helium Oxygen,Airgas National Welders,11896-0018
681,Preparation H Totables Pain Relief,"GLYCERIN, PHENYLEPHRINE HYDROCHLORIDE, PRAMOXINE HYDROCHLORIDE, and PETROLATUM",Pfizer Consumer Healthcare,0573-2869
682,AgroBac Foam Wash,Benzalkonium Chloride,"Deb USA, Inc.",11084-054
683,Image Essentials Daily Illuminating Moisturizer Broad Spectrum SPF 15 Sunscreen,"Avobenzone, Octisalate and Octocrylene",KMART Corporation,49738-746
684,INSTANT HAND SANITIZER,HAND SANITIZER,"Montgomery County Chapter Nysarc, Inc dba Liberty Enterprises",54679-6657
685,Miconazole nitrate,Antifungal Miconazole Liquid Continuous Spray,Premier Brands of America Inc.,56104-141
686,nasal decongestant pe,Phenylephrine Hydrochloride,CVS Pharmacy,59779-094
687,CareOne Adult Tussin DM,"Dextromethorphan HBr, Guaifenesin",American Sales Company,41520-359
688,Heparin Sodium,Heparin Sodium,McKesson Packaging Services Business Unit of McKesson Corporation,63739-953
689,Temazepam,temazepam,Mylan Pharmaceuticals Inc.,0378-3120
690,Hydrochlorothiazide,Hydrochlorothiazide,REMEDYREPACK INC.,52125-579
691,ClindaMax,clindamycin phosphate,"PharmaDerm, A division of Nycomed US Inc.",0462-0390
692,Escitalopram,Escitalopram Oxalate,BluePoint Laboratories,68001-195
693,Estazolam,Estazolam,"Watson Laboratories, Inc.",0591-0745
694,Lavender de Provence Antibacterial Hand Sanitizer,ALCOHOL,"Harrison Specialty Co., Inc.",75848-0500
695,GABAPENTIN,GABAPENTIN,Sun Pharmaceutical Industries Limited,62756-137
696,Aire-Master,Alcohol,"Aire-Master of America, Inc.",65133-140
697,Rouge Dior 710 Beige Serum,OCTINOXATE,Parfums Christian Dior,61957-1044
698,Mouse Epithelium,Mouse Epithelium,"Nelco Laboratories, Inc.",36987-1090
699,Medi First Pain Relief,"ACETAMINOPHEN, ASPIRIN, SALICYLAMIDE and CAFFEINE",Unifirst First Aid Corporation,47682-811
700,Mucinex Fast-Max Day Time Severe Cold and Mucinex Fast-Max Night Time Cold and Flu,"Acetaminophen, Dextromethorphan Hydrobromide, Diphenhydramine Hydrochloride, Guaifenesin, and Phenylephrine Hydrochloride",Reckitt Benckiser LLC,63824-234
701,Betamethasone Dipropionate,Betamethasone Dipropionate,A-S Medication Solutions LLC,54569-1113
702,Muscle rub,"Menthol, Camphor, Methyl Salicylate",Dynarex Corporation,67777-406
703,telmisartan,telmisartan,Cadila Healthcare Limited,65841-805
704,Ondansetron Hydrochloride,Ondansetron Hydrochloride,Aurobindo Pharma Limited,65862-189
705,daytime nitetime sinus,"Acetaminophen, Doxylamine succinate , Phenylephrine HCl",Meijer Distribution Inc,41250-515
706,Wal Phed,Pseudoephedrine Hydrochloride,Walgreen Company,0363-0054
707,PROMETHAZINE DM,Dextromethorphan Hydrobromide and Promethazine Hydrochloride,REMEDYREPACK INC.,52125-647
708,DAY WEAR ADVANCED MULTI-PROTECTION ANTI-OXIDANT AND UV DEFENSE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, and OXYBENZONE",ESTEE LAUDER INC,11559-026
709,Glipizide,Glipizide,Major Pharmaceuticals,0904-6124
710,Shang Shi Zhi Tong Pain Relieving Plaster,"Methyl Salicylate, Camphor, Menthol",International Nature Nutraceuticals,51367-021
711,Mirtazapine,Mirtazapine,Bryant Ranch Prepack,63629-5085
712,FLOUNDER,Flounder,"ALK-Abello, Inc.",0268-6137
713,DHEA Forte,"Dehydroepiandrosterone (DHEA), Pregnenolone, Progesterone,","BioActive Nutritionals, Inc.",43857-0052
714,Oxygen,Oxygen,ILMO Products Company,51486-720
715,Lancome Paris Bienfait MultiVital Broad Spectrum SPF 30 Sunscreen,"Avobenzone, Octisalate and Octocrylene",L'Oreal USA Products Inc,49967-456
716,Phentermine hydrochloride,Phentermine hydrochloride,Northwind Pharmaceuticals,51655-877
717,QUERCUS RUBRA POLLEN,Red Oak,"ALK-Abello, Inc.",0268-6738
718,Carvedilol,Carvedilol,Cardinal Health,55154-4991
719,Tacrolimus,tacrolimus,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,0168-0416
720,Gyno Complex,"Viburnum Opulus, Magnesia Phosphorica, Folliculnum, Pulsatilla, Borax, Mercurius Solubilis, Nitricum Acidum, Silicea, Thuja Occidentalis","Deseret Biologicals, Inc",43742-0248
721,Naphazoline Hydrochloride and Pheniramine Maleate,Naphazoline hydrochloride and Pheniramine Maleate,Walgreens,0363-9650
722,Arthritis Therapy,"APIS MELLIFERA, BRYONIA ALBA ROOT, CALCIUM FLUORIDE, LITHIUM CARBONATE, TOXICODENDRON PUBESCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP, SALICYLIC ACID",TRP Company,17312-026
723,Acyclovir,acyclovir,Ranbaxy Laboratories Ltd.,63304-504
724,TYSABRI,natalizumab,"Elan Pharmaceuticals, Inc.",59075-730
725,Lari-Clear,"Baryta carbonica, Belladonna atropa, Phytolacca decandra",NARTEX LABORATORIOS HOMEOPATICOS SA DE CV,34666-161
726,Fresh Picked Strawberries Anti Bacterial Hand Sanitizer,BENZETHONIUM CHLORIDE,Five Below,59021-007
727,Flumazenil,Flumazenil,"Physicians Total Care, Inc.",54868-5715
728,HAMSOA YUYU DEEP MOISTURE,WITCH HAZEL,"HAMSOA PHARMACEUTICAL CO., LTD.",50964-090
729,Esika Passion Musk Antiperspirant Roll-On Deodorant,ALUMINUM SESQUICHLOROHYDRATE,Ventura Corporation Limited,43596-0022
730,Quazepam,QUAZEPAM,"Preferred Pharmaceuticals, Inc.",68788-9664
731,Loperamide Hydrochloride,Loperamide Hydrochloride,Select Brand,15127-338
732,Simcor,Niacin and Simvastatin,AbbVie Inc.,0074-3455
733,Levetiracetam,Levetiracetam,"Methapharm, Inc.",67850-014
734,Mi Acid,"Calcium carbonate, Magnesium hydroxide",Major Pharmaceuticals,0904-5115
735,Clarithromycin,Clarithromycin,REMEDYREPACK INC.,49349-679
736,Antibacterial Foaming Hand Cleanser,triclosan,"Jets, Sets, & Elephants Beauty Corp.",50988-173
737,Topicort,Desoximetasone,"Taro Pharmaceuticals U.S.A., Inc.",51672-5202
738,Quinapril Hydrochloride and Hydrochlorothiazide,Quinapril Hydrochloride and Hydrochlorothiazide,Ranbaxy Pharmaceuticals Inc.,63304-161
739,Pain Relief Rub,"Camphor, Menthol, Methyl Salicylate",Avaria Health & Beauty Corp,43493-0001
740,Childrens Cold and Cough,"Diphenhydramine HCl, Phenylephrine HCl",Walgreens,0363-3790
741,Sterile Water,Water,"American Regent, Inc.",0517-3020
742,Recombinate,Antihemophilic Factor Recombinant,Baxter Healthcare Corporation,0944-2833
743,HAND AND NATURE SANITIZER,Alcohol,"NATURE REPUBLIC CO., LTD.",51346-235
744,TUMS,calcium carbonate,GlaxoSmithKline Consumer Heathcare LP,0135-0180
745,Alka-Seltzer Plus,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, and PHENYLEPHRINE HYDROCHLORIDE","Bayer HealthCare LLC, Consumer Care",0280-1125
746,Meniscus 6,Meniscus 6,Uriel Pharmacy Inc.,48951-7035
747,ECOZA,econazole nitrate,"Quinnova Pharmaceuticals, LLC",23710-100
748,LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 13 ROSE NATUREL,"OCTINOXATE, TITANIUM DIOXIDE",Guerlain S.A,49817-0061
749,Fluphenazine Hydrochloride,Fluphenazine Hydrochloride,REMEDYREPACK INC.,49349-598
750,Zonnic Nicotine,Nicotine polacrilex,Niconovum USA Inc.,42884-442
751,NITROGLYCERIN,nitroglycerin,Greenstone LLC,59762-4921
752,English Plantain,English Plantain,"Nelco Laboratories, Inc.",36987-3330
753,MECLIZINE HYDROCHLORIDE,Meclizine Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,35356-901
754,ESIKA HD COLOR HIGH DEFINITION COLOR SPF 20,Octinoxate,Ventura Corporation LTD,13537-007
755,ALLIUM SATIVUM,ALLIUM SATIVUM,HOMEOLAB USA INC.,60512-6472
756,Jade,Antibacterial Hand Soap,"Whisk Products, Inc.",65585-504
757,Coppertone,"avobenzone, homosalate, octisalate, and octocrylene","MSD Consumer Care, Inc.",11523-7291
758,Scrub,Povidone-Iodine,"Medline Industries, Inc.",53329-938
759,Good Sense Mucus Relief,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",L. Perrigo Company,0113-0922
760,Creamy Petroleum Jelly,Petrolatum,China Ningbo Shangge Cosmetic Technology Corp.,58503-063
761,La Roche Posay Laboratoire Dermatologique,Avobenzone Homosalate Octisalate Octocrylene Oxybenzone,L'Oreal USA Products Inc,49967-095
762,Trichophyton mentagrophytes,Trichophyton mentagrophytes,"Nelco Laboratories, Inc.",36987-2128
763,Heparin Sodium,heparin sodium,Sagent Pharmaceticals,25021-401
764,Carvedilol,Carvedilol,Major Pharmaceuticals,0904-6096
765,Childrens Pain and Fever,Acetaminophen,Meijer Distribution Inc,41250-650
766,Perphenazine,Perphenazine,Sandoz Inc,0781-1047
767,"SATINIQUE ANTI-DANDRUFF for dry, irritated scalp",PYRITHIONE ZINC,Amway Corp,50390-000
768,Oxygen,Oxygen,"Airgas-West, Inc.",10678-001
769,Turkey,Turkey,"Nelco Laboratories, Inc.",36987-1169
770,Hydroxyzine Hydrochloride,hydroxyzine hydrochloride,Qualitest Pharmaceuticals,0603-3968
771,LIME,"lime, citrus","Allergy Laboratories, Inc.",54575-408
772,Right Guard Sport,Aluminum Zirconium Octachlorhydrex GLY,VVF Illinois Services,51815-209
773,American Elm,American Elm,"Nelco Laboratories, Inc.",36987-2633
774,Clonazepam,clonazepam,TYA Pharmaceuticals,64725-0136
775,Anticavity Fluoride Rinse,Sodium Fluoride,"Supervalu, Inc",41163-213
776,Cefazolin,Cefazolin Sodium,Baxter Healthcare Corporation,0338-3503
777,Diflucan,fluconazole,Roerig,0049-3420
778,Brintellix,vortioxetine,"Takeda Pharmaceuticals America, Inc.",64764-580
779,Lorazepam,Lorazepam,"PD-Rx Pharmaceuticals, Inc.",55289-487
780,Aspergillus terreus,Aspergillus terreus,"Nelco Laboratories, Inc.",36987-1896
781,Nasal Decongestant PE,Phenylephrine HCl,"L.N.K. International, Inc.",50844-953
782,topcare anti diarrheal,Loperamide Hydrochloride,Topco Associates LLC,36800-224
783,Breast Essence II,"Dimethicone, Allantoin",yeojaya,69142-001
784,"Rite Aid Acne Pads, Daily Cleansing Pads",SALICYLIC ACID,Right Aid Corporation,11822-0414
785,Treatment Set TS341474,Treatment Set TS341474,"Antigen Laboratories, Inc.",49288-0817
786,Medicell Scalp,GLYCERIN,Dr. Forhair,69244-1001
787,Dicyclomine Hydrochloride,Dicyclomine Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",43063-045
788,PlusPharma Extra Strength,ACETAMINOPHEN,"Gemini Pharmaceuticals, Inc. dba Plus Pharma",51645-705
789,Medroxyprogesterone Acetate,Medroxyprogesterone Acetate,A-S Medication Solutions LLC,54569-3807
790,Hydro Skin,HYDROCORTISONE,Rugby Laboratories,0536-5105
791,Wrinkles and Radiance Dazzling -Day- SPF 20,"ENSULIZOLE, OCTINOXATE, OCTISALATE",Yves Rocher North America Inc,63505-005
792,Famciclovir,Famciclovir,Aurobindo Pharma Limited,65862-465
793,Simethicone,Dimethicone,Softech Pharma Pvt. Ltd,48769-113
794,ENTEX LQ,guaifenesin and phenylephrine hydrochloride,"Physicians Total Care, Inc.",54868-6241
795,EPICOCCUM NIGRUM,EPICOCCUM NIGRUM,"ALK-Abello, Inc.",0268-0885
796,QS Plus,BENZETHONIUM CHLORIDE,"ABC Compounding Co., Inc.",62257-575
797,Savella,milnacipran hydrochloride,"Forest Laboratories, Inc.",0456-1525
798,Strep Throat,"Arum Tri 30c, Belledonna 30c, Carbo Animalis 30c, Causticum 30c, Echinacea30c, Hydrastis 30c, Lachesis 30c, Phosphorous 30c, Phytolacca 30c, Nitricum Acidum 30c, Nux Vomica 30c, Mercurius Sol 30c , streptococcinum 30c, Sabadilla 30c, Spigellia 30c",Home Sweet Homeopathics,59667-0098
799,Technetium Tc99m Generator,TECHNETIUM TC-99M SODIUM PERTECHNETATE,Medi-Physics Inc.,17156-606
800,Childrens Pain Relief,Acetaminophen,"GREAT LAKES WHOLESALE, MARKETING, & SALES, INC.",64092-031
